,0
BCUTc-1l,-0.44449571803196836
GATS4c,1.0810886327974216
SdsN,0.5752188507291688
EState_VSA5,14.575120844539914
BCUTv-1h,22.60357376058239
ATSC2i,1.6186738829773515
JGI5,0.02671704644009858
RotRatio,0.2038269734372975
SlogP_VSA5,34.6784129346798
GATS5pe,1.0846316262585372
Kier3,6.708517762338632
ATSC5i,-4.649074282526654
GATS4p,1.0319586872019502
SMR_VSA1,19.955898655436123
JGI7,0.013568057503498494
ATSC3c,0.11640147495538306
GATS4s,1.0707735130424278
BCUTd-1l,0.9853309501653889
VSA_EState4,3.0312356305421124
ATSC3se,-0.30089128247315583
PEOE_VSA13,2.4293342596152647
GATS4d,1.099631274828075
ATSC5dv,-14.900636651623582
GATS5c,1.0522116919318272
AATSC2i,0.035822377295209686
AATS5p,1.2419455208200199
GATS5s,1.1479620837547078
ATSC1are,-0.4599009874158203
ATSC5are,-0.12188504380233992
AATSC1are,-0.007482720784336243
Kier2,11.024042347676671
ATSC2v,106.36431003115557
ATSC5pe,-0.11904640232905447
GATS4Z,1.0258324747020802
SpMAD_Dzv,11.129849707605242
JGI6,0.018211776573546865
ATSC2p,0.3440585908462074
ATSC3i,-9.31523194415689
SsOH,8.544904096902552
JGI2,0.08764491713460361
ATSC1c,-0.6595047675489076
ATSC6i,2.3822262196688913
AATSC1v,0.9242684566991404
MATS5se,-0.04011213862335121
ATSC6d,-3.530424911102771
AATSC0i,1.593428828164939
AETA_eta_L,0.25657658472615635
SIC4,0.8946859569278128
BIC5,0.8611057031424375
EState_VSA7,20.34327849695108
SpMax_A,2.4388729091964163
HybRatio,0.4054142220156626
AETA_beta_s,0.624865539072173
GGI4,1.912444986449865
ATSC5s,2.538205428589597
ATSC7i,-5.851527969129665
MATS3se,-0.038603989616798874
GATS5se,1.0995154550444182
GATS3pe,0.9952841223511444
ETA_dAlpha_A,0.004125667593896297
PEOE_VSA3,4.781361477899058
VSA_EState8,3.7653319473202567
ATSC6dv,-27.192906721173713
ATSC8dv,-13.696502914953426
ATSC2se,1.0242369107559863
