,0
BCUTc-1l,0.07725287285698348
GATS4c,0.2681611982217173
SdsN,1.6916260749385907
EState_VSA5,20.10714431503422
BCUTv-1h,2.684870537024479
ATSC2i,33.915941427041076
JGI5,0.009329189648026958
RotRatio,0.12335084072088956
SlogP_VSA5,42.215388513349254
GATS5pe,0.2978770514728126
Kier3,11.423252704069146
ATSC5i,25.54579552905672
GATS4p,0.17137012683215005
SMR_VSA1,29.901634903666675
JGI7,0.006075607461362422
ATSC3c,0.8311169635926436
GATS4s,0.30817591799266303
BCUTd-1l,0.09100369841942169
VSA_EState4,6.641817478246067
ATSC3se,1.2906185324725195
PEOE_VSA13,3.997824700312591
GATS4d,0.19779075765692206
ATSC5dv,81.79685270020703
GATS5c,0.2961580977647725
AATSC2i,0.2885559377015822
AATS5p,0.25553622584036734
GATS5s,0.3848073314633654
ATSC1are,1.8415719760788312
ATSC5are,4.519663264215805
AATSC1are,0.024075206240155928
Kier2,15.607309092100774
ATSC2v,755.069748546943
ATSC5pe,4.133168051939384
GATS4Z,0.182057615524193
SpMAD_Dzv,8.594701781028787
JGI6,0.007414290454148653
ATSC2p,4.940297024417169
ATSC3i,26.305138657721898
SsOH,17.722142933040217
JGI2,0.024338759500278605
ATSC1c,1.2940526576105118
ATSC6i,37.44960096357995
AATSC1v,4.277810826966329
MATS5se,0.16469292889781004
ATSC6d,9.126769157740316
AATSC0i,0.5452394522047934
AETA_eta_L,0.05985736819264112
SIC4,0.08059542338800345
BIC5,0.06789550995490937
EState_VSA7,21.738516664901393
SpMax_A,0.13865964830695177
HybRatio,0.25624872431299733
AETA_beta_s,0.04252603539491055
GGI4,2.3787144763464
ATSC5s,87.87229660536457
ATSC7i,24.78538884523691
MATS3se,0.1083437832301988
GATS5se,0.34364714294717064
GATS3pe,0.19764167791473689
ETA_dAlpha_A,0.021729625627906788
PEOE_VSA3,6.953479465965465
VSA_EState8,4.511395846413286
ATSC6dv,91.82151786877965
ATSC8dv,93.64835435371236
ATSC2se,2.404726297941726
